coords,x_left,y_left,likelihood,x_right,y_right,likelihood
310,422.902951,516.9082698,1,368.3325901,516.7600211,1
311,423.0567462,517.4650816,0.999999881,368.4807117,517.4644707,1
312,423.2868104,516.3621067,0.999999881,368.4748516,517.9831898,1
313,424.0117512,514.5598931,0.999999881,368.6713271,518.4223452,1
314,424.0575013,513.3210664,0.999999881,369.0907946,517.8302611,1
315,424.2400465,513.3761306,0.999999881,369.0338924,518.3727651,1
316,424.1957221,515.0669925,0.999999881,368.4859428,519.3289132,1
317,424.0303702,516.5643634,0.999999881,367.7066665,520.6016507,0.999999762
318,423.5425341,518.0847206,0.999999881,367.7173171,520.7657928,0.999999762
319,423.1076272,518.7229433,0.999999881,367.5630312,521.0929718,0.999999642
320,423.486685,518.9663746,0.999999881,367.704915,521.1667981,0.999999642
321,424.0218034,520.2572551,0.999999404,367.3832932,521.5140123,0.999999523
322,424.4812522,520.1306019,0.999999166,367.4610081,521.0644197,0.999999642
323,425.4904881,519.7455413,0.999998808,367.5796971,521.2898917,0.999999642
324,426.8320302,519.0252676,0.99999845,367.7110844,520.8277206,0.999999762
325,427.7834574,519.0445514,0.999998808,368.4743617,521.0686684,0.999999881
326,428.2598531,519.8532872,0.999998212,368.7850487,522.0442324,0.999999762
327,428.3123173,520.6902308,0.999997497,368.7467785,522.5391984,0.999999642
328,428.2481178,522.0563478,0.999994516,368.9500713,521.6920478,0.999999642
329,428.7610301,522.4201574,0.99999404,368.6685474,521.954751,0.999999642
330,428.1449808,522.2308989,0.999994874,368.455435,522.0334522,0.999999523
331,427.9480993,521.9700451,0.999994278,367.8106041,522.3842969,0.999999404
332,427.6027365,521.4401331,0.999995947,367.2167001,522.1833963,0.999999285
333,427.5082857,521.3350759,0.999996066,367.095777,522.1133738,0.999999285
334,427.4471627,521.3098655,0.999996066,367.2064023,521.472718,0.999999166
335,427.5491998,521.4519849,0.999995351,367.5579824,521.7619336,0.999999285
336,427.6626441,521.4198022,0.999995708,367.4054909,521.6839337,0.999999285
337,427.7818889,521.5006828,0.999996066,367.2047706,521.9050479,0.999999285
338,427.7376303,521.4456973,0.999996305,367.1471152,521.709657,0.999999046
339,427.0948015,521.1574407,0.999996305,366.993125,521.8584945,0.999999046
340,426.9972051,521.1388607,0.999996185,366.4200406,521.8574975,0.999998808
341,426.5784554,520.2775669,0.99999702,366.1925178,521.9377451,0.999998808
342,427.1349893,519.9503438,0.999998093,366.2472115,521.3850861,0.999998927
343,428.6726644,519.6846733,0.999998212,366.1094074,521.8549981,0.999999166
344,428.9593616,519.5939808,0.999998569,365.262632,520.2080131,0.999999404
345,428.6734411,519.5928042,0.999998569,365.3428011,520.5036249,0.999999285
346,428.8056883,519.5100987,0.999998808,365.3524052,520.314714,0.999999404
347,428.7650436,519.187145,0.999998927,365.324265,520.0482097,0.999999404
348,428.6873065,518.5120974,0.999999285,365.3278271,519.6351655,0.999999642
